id,title,purpose,prompt,negative_prompt,aspect_ratio,notes
1,嘉義城市晨景主視覺,網站封面與影片開場,"嘉義市清晨天際線，街道有通勤人潮與智慧路燈，寫實新聞攝影感，natural light，AI 情境示意圖，非真實新聞照片","卡通風，過度飽和，誇張特效",16:9,"科技、文化、幸福開場"
2,傳統市場數位收付,科技落地進社區,"嘉義西區傳統市場，攤商使用平板收款，顧客含長輩與青年，紀實攝影，AI 情境示意圖，非真實新聞照片","商標特寫，擺拍感過重",3:2,"市場店家數位升級"
3,社區 AI 課程,數位近便,"社區活動中心，青年志工教長輩使用手機 App，溫暖自然光，紀錄片風格，AI 情境示意圖，非真實新聞照片","空景無人，卡通化",3:2,"高齡友善"
4,居家智慧健康,健康照護,"居家場景，長輩使用健康量測裝置，家屬手機收到提醒，寫實生活攝影，AI 情境示意圖，非真實新聞照片","醫療驚悚風，病痛誇張",4:3,"智慧健康"
5,青年協作空間,青年留鄉就業,"嘉義青年在共享辦公空間討論產品原型，筆電與白板，明亮自然光，AI 情境示意圖，非真實新聞照片","豪華辦公室過度精修",16:9,"在地就業"
6,無人機測試場,軍民兩用產業,"平原試飛場，工程師檢查中型無人機，安全裝備完整，紀實攝影，AI 情境示意圖，非真實新聞照片","戰鬥場面，武器瞄準",16:9,"避免煽動"
7,農業無人機巡田,科技助農,"稻田上空農業無人機巡田，地面技師監控平板，清晰自然，AI 情境示意圖，非真實新聞照片","災難煙霧，末日風",16:9,"產業多元"
8,智慧防洪監測中心,市政韌性,"城市防洪監測中心，多螢幕資料看板，值勤人員專注操作，寫實紀錄，AI 情境示意圖，非真實新聞照片","軍事指揮室紅色警報",16:9,"民生治理"
9,抽水站設備升級,防災工程,"抽水站機組與巡檢人員，整潔安全，工程紀實攝影，AI 情境示意圖，非真實新聞照片","事故毀損，驚悚畫面",16:9,"治水改善"
10,社區免費 Wi-Fi 服務點,智慧社區基礎建設,"公共空間免費 Wi-Fi 服務點，市民使用手機辦理生活事務，寫實攝影，AI 情境示意圖，非真實新聞照片","科技特效過多，霓虹風",3:2,"基礎建設"
11,智慧公車站牌,便民服務,"公車站智慧看板顯示到站資訊，市民平常候車，日間紀實攝影，AI 情境示意圖，非真實新聞照片","車牌可辨，Logo 特寫",3:2,"交通治理"
12,嘉科通勤動線,產業生活連動,"嘉義科學園區周邊道路與通勤動線，晴天，新聞攝影構圖，AI 情境示意圖，非真實新聞照片","封閉軍區感，品牌特寫",16:9,"科技產業"
13,校園 AI 素養課,教育扎根,"中小學生在教室操作 AI 學習工具，老師引導，正向自然，AI 情境示意圖，非真實新聞照片","考試壓力表情，卡通感",4:3,"科技素養"
14,樂齡學習據點,社區陪伴,"社區樂齡據點，長輩參與健康講座與手作課程，溫暖光線，AI 情境示意圖，非真實新聞照片","空蕩教室，負面情緒",3:2,"幸福生活"
15,文化展演夜景,文化主張,"嘉義街區夜間光影展演，居民散步互動，文藝紀實攝影，AI 情境示意圖，非真實新聞照片","賽博龐克過重，過曝霓虹",16:9,"文化溫度"
16,獨立書店活動,人文品牌,"獨立書店閱讀分享會，青年與長輩交流，暖色調寫實攝影，AI 情境示意圖，非真實新聞照片","商業硬廣感，誇張擺拍",3:2,"藝文氣息"
17,青年就業媒合,人才政策,"地方企業與青年就業媒合活動，簡報與交流，紀實攝影，AI 情境示意圖，非真實新聞照片","空洞握手照，過度商業",16:9,"留鄉就業"
18,公私協力圓桌,治理協作,"政府、學校、企業代表圓桌討論地方人才與產業合作，AI 情境示意圖，非真實新聞照片","衝突爭執畫面",16:9,"跨域合作"
19,市場減塑行動,永續政策,"市場入口減塑宣導與自備袋兌換活動，市民自然互動，AI 情境示意圖，非真實新聞照片","道德批判標語，負面衝突",3:2,"環境治理"
20,志工社區服務,社會連結,"里民與志工整理社區公共空間，親切互動，日光寫實攝影，AI 情境示意圖，非真實新聞照片","作秀感強，空鏡頭",3:2,"社區幸福"
21,傍晚公園家庭,幸福生活,"傍晚公園，家庭散步、長輩休憩、孩童玩耍，溫暖寫實，AI 情境示意圖，非真實新聞照片","陰暗恐怖風",16:9,"幸福主軸"
22,嘉義晨曦全景收尾,結尾展望,"嘉義城市晨曦全景，天光灑落，帶有希望感，真實攝影語言，AI 情境示意圖，非真實新聞照片","過度 HDR，不自然天空",21:9,"影片收尾"
